Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d7a949f5313771b646f4b5,6049d09a4abaf27d9bb325b7,APPROVED,Not Applicable,2024-02-22T20:06:38.016000Z,2024-02-22T20:32:41.392000Z,2024-02-23T13:28:58.020000Z,2024-02-22T20:58:29.022000Z,1564.0,CDH5AM11,1341,English,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d7a9592ca1c73afcd69113,5ef8bf948a48ac03adaad640,APPROVED,Not Applicable,2024-02-22T20:08:18.697000Z,2024-02-22T20:36:33.389000Z,2024-02-23T13:28:58.243000Z,2024-02-22T21:01:46.768000Z,1695.0,CDH5AM11,1908,"English, Papiamento",44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a95ea7d0fa625757d9ad,63ee6ca92186ac65c4437d62,APPROVED,Not Applicable,2024-02-22T20:10:00.317000Z,2024-02-22T20:41:18.196000Z,2024-02-23T13:28:32.598000Z,2024-02-22T21:05:48.541000Z,1878.0,CDH5AM11,914,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a96bc2e3eaacc37c3699,64835b5840bc93bf8c400aeb,APPROVED,Not Applicable,2024-02-22T20:07:10.801000Z,2024-02-22T20:34:38.443000Z,2024-02-23T13:28:58.475000Z,2024-02-22T21:00:14.121000Z,1648.0,CDH5AM11,476,English,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d7a971b0d82262da6fd002,59930c0fb9269d00016ec252,APPROVED,Not Applicable,2024-02-22T20:07:20.425000Z,2024-02-22T20:39:15.128000Z,2024-02-23T13:28:58.684000Z,2024-02-22T21:04:05.901000Z,1915.0,CDH5AM11,1600,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d7a98f6a462716878a6384,5c0e66f74324e80001c91874,APPROVED,Not Applicable,2024-02-22T20:07:51.220000Z,2024-02-22T20:39:42.390000Z,2024-02-23T13:28:58.932000Z,2024-02-22T21:04:27.695000Z,1912.0,CDH5AM11,411,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d7a99ba9eab5dc862d3493,565e944394730100114a9119,APPROVED,Not Applicable,2024-02-22T20:14:41.951000Z,2024-02-22T21:15:06.430000Z,2024-02-23T13:28:32.826000Z,2024-02-22T21:16:48.483000Z,3625.0,CDH5AM11,831,"Dutch, English",31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a9af14867a92270dfbf9,5d5a760de295b5001aefd5ba,APPROVED,Not Applicable,2024-02-22T20:08:22.087000Z,2024-02-22T20:47:35.222000Z,2024-02-23T13:28:33.018000Z,2024-02-22T21:10:47.127000Z,2354.0,CDH5AM11,608,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a9bdc2baa8a8dd5ad960,63b736c5bfe87a5e3cc51dd7,APPROVED,Not Applicable,2024-02-22T20:11:40.993000Z,2024-02-22T21:02:21.788000Z,2024-02-23T13:28:59.192000Z,2024-02-22T21:15:11.741000Z,3041.0,CDH5AM11,408,"French, English, German",36,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d7a9c95a3fdeffa857e58c,5a62207c13898300014b1fbb,APPROVED,Not Applicable,2024-02-22T20:08:47.506000Z,2024-02-22T20:43:37.156000Z,2024-02-23T13:28:59.417000Z,2024-02-22T21:07:54.239000Z,2090.0,CDH5AM11,1463,English,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
65d7a9dfdea525168ee63aa5,5a5a6318ac5624000153e365,APPROVED,Not Applicable,2024-02-22T20:10:23.566000Z,2024-02-22T20:43:42.807000Z,2024-02-23T13:28:33.270000Z,2024-02-22T21:07:52.998000Z,2000.0,CDH5AM11,2906,English,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a9e5d393d5f570eb6d3d,645ec1eb6b4dbd5e28b16a56,APPROVED,Not Applicable,2024-02-22T20:09:15.804000Z,2024-02-22T20:42:59.635000Z,2024-02-23T13:28:59.642000Z,2024-02-22T21:07:16.981000Z,2024.0,CDH5AM11,602,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
65d7a9e660dffbee7264828c,5e7b779563c6dc05953e3669,APPROVED,Not Applicable,2024-02-22T20:09:18.115000Z,2024-02-22T20:45:08.557000Z,2024-02-23T13:28:33.495000Z,2024-02-22T21:09:00.026000Z,2151.0,CDH5AM11,1833,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a9e692de38bced1b2617,5eefc651cb94ad4c4d017b86,APPROVED,Not Applicable,2024-02-22T20:09:17.969000Z,2024-02-22T20:37:48.468000Z,2024-02-23T13:28:33.699000Z,2024-02-22T21:02:47.695000Z,1711.0,CDH5AM11,1830,"Chinese, English",35,Male,Asian,United States,United States,United States,English,Yes,Full-Time
65d7a9f445862104f18dce56,5ce0209f85f053001683481c,APPROVED,Not Applicable,2024-02-22T20:09:33.782000Z,2024-02-22T20:35:02.001000Z,2024-02-23T13:28:59.846000Z,2024-02-22T21:00:36.127000Z,1529.0,CDH5AM11,563,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65d7a9fcec8f5ee7ee3f98a7,5c4c57609446be00017e6746,APPROVED,Not Applicable,2024-02-22T20:09:32.611000Z,2024-02-22T20:48:15.317000Z,2024-02-23T13:28:33.915000Z,2024-02-22T21:11:24.498000Z,2323.0,CDH5AM11,2252,English,44,Male,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7aa0ea628bff5598dd8d7,60ae8874a4a90d85f0022c91,RETURNED,Not Applicable,2024-02-22T20:09:55.906000Z,2024-02-22T20:40:19.940000Z,,2024-02-22T21:04:58.276000Z,,CDH5AM11,1066,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
