Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65a931da8ecae7c2d1fe3abb,65a3c31a29f1fc585996911f,APPROVED,2024-01-18T14:12:50.281000Z,2024-01-18T14:53:24.343000Z,2024-01-18T16:27:25.440000Z,2024-01-18T14:53:25.044000Z,2435.0,CDH5AM11,39,English,70,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time,Not Applicable
65a931e334f2fd8642afca8e,6175622f78f8039a4c62bb83,APPROVED,2024-01-18T14:18:59.412000Z,2024-01-18T14:44:35.300000Z,2024-01-18T16:27:20.930000Z,2024-01-18T14:44:36.274000Z,1536.0,CDH5AM11,1628,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65a931f057f4159a9cfe3bf4,601035bc24cb8f2c108b3e48,APPROVED,2024-01-18T14:13:08.559000Z,2024-01-18T14:42:27.549000Z,2024-01-18T16:27:21.128000Z,2024-01-18T14:42:28.627000Z,1759.0,CDH5AM11,961,English,35,Female,White,United States,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),Not Applicable
65a931f134f2fd8642afca91,5cc7f52f4bb96d00018a979f,APPROVED,2024-01-18T14:13:11.883000Z,2024-01-18T14:49:49.088000Z,2024-01-18T16:27:21.326000Z,2024-01-18T14:49:50.464000Z,2198.0,CDH5AM11,796,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65a93214f41753de19544b73,63d006dc15bb7a9753aa56ab,APPROVED,2024-01-18T14:13:46.149000Z,2024-01-18T14:47:20.223000Z,2024-01-18T16:27:25.640000Z,2024-01-18T14:47:21.001000Z,2015.0,CDH5AM11,175,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65a93274932bcb966c2316f7,60c9abe32799d8a970e92799,APPROVED,2024-01-18T14:15:22.180000Z,2024-01-18T14:40:35.451000Z,2024-01-18T16:27:25.840000Z,2024-01-18T14:40:36.178000Z,1514.0,CDH5AM11,527,"English, French",40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65a9328645e701b01aeec40f,63e527f52b035555467c68b4,APPROVED,2024-01-18T14:15:38.245000Z,2024-01-18T14:43:27.968000Z,2024-01-18T16:27:26.036000Z,2024-01-18T14:43:28.628000Z,1670.0,CDH5AM11,191,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,Not Applicable
65a9329871e9d30fabf5c5b1,5c7e7549c2d6ce00175aecef,APPROVED,2024-01-18T14:16:18.375000Z,2024-01-18T15:10:17.274000Z,2024-01-18T16:32:35.739000Z,2024-01-18T15:10:17.952000Z,3239.0,CDH5AM11,1008,"Slovak, Czech, Polish, English",31,Female,White,Slovakia,United Kingdom,Slovakia,Slovak,No,Unemployed (and job seeking),Not Applicable
65a932aabe1721c6249e28c9,655a1dc0bcd51e70472061c2,APPROVED,2024-01-18T14:16:20.808000Z,2024-01-18T14:44:37.850000Z,2024-01-18T16:27:21.584000Z,2024-01-18T14:44:38.570000Z,1698.0,NOCODE,100,English,24,Female,Black,Nigeria,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65a932aec5eefde6c1647a17,5cb0d94aff629100171b05b1,APPROVED,2024-01-18T14:16:18.329000Z,2024-01-18T14:42:52.025000Z,2024-01-18T16:27:26.233000Z,2024-01-18T14:42:52.993000Z,1594.0,NOCODE,1088,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),Not Applicable
65a932c64d3f331b0b93b515,5c5b4e360f2bab0001f01ffa,APPROVED,2024-01-18T14:23:30.807000Z,2024-01-18T14:50:37.494000Z,2024-01-18T16:27:21.785000Z,2024-01-18T14:50:39.133000Z,1627.0,NOCODE,540,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65a932ca6816e2a4f19e297c,5855a08d4e111700010b2766,APPROVED,2024-01-18T14:16:49.960000Z,2024-01-18T14:43:36.865000Z,2024-01-18T16:27:21.986000Z,2024-01-18T14:43:37.553000Z,1607.0,CDH5AM11,459,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65a932d8f78666b2020db662,5cffb12df6c3fb00157b2f39,APPROVED,2024-01-18T14:17:04.715000Z,2024-01-18T14:56:39.317000Z,2024-01-18T16:27:26.426000Z,2024-01-18T14:56:39.971000Z,2375.0,C16EH9UF,2680,English,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
65a932e6c27bbccd2375ca30,592220f8fc043000016c5aeb,APPROVED,2024-01-18T14:17:10.611000Z,2024-01-18T14:48:30.701000Z,2024-01-18T16:27:26.624000Z,2024-01-18T14:48:31.969000Z,1881.0,CDH5AM11,1577,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65a932ec199cde2645be2e4f,5efcb50255a06b097b8d5d29,APPROVED,2024-01-18T14:17:54.386000Z,2024-01-18T15:01:35.928000Z,2024-01-18T16:27:26.823000Z,2024-01-18T15:01:36.657000Z,2622.0,CDH5AM11,1551,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65a932f8fc1ee8c40991a89b,59a761ca1363d90001676931,APPROVED,2024-01-18T14:17:32.499000Z,2024-01-18T14:44:30.669000Z,2024-01-18T16:27:22.189000Z,2024-01-18T14:44:31.509000Z,1619.0,CDH5AM11,1002,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,Not Applicable
65a9333954e3350c578253fe,655f5d39518bf272b6d96e9d,APPROVED,2024-01-18T14:22:25.894000Z,2024-01-18T14:32:00.216000Z,2024-01-18T16:27:22.390000Z,2024-01-18T14:32:00.919000Z,575.0,NOCODE,160,English,66,Female,Asian,Kenya,United Kingdom,United Kingdom,Gujarati,No,Full-Time,Not Applicable
65a9334c59bc6ca1bbab2542,63e51d8fd8a1a336d19fa191,APPROVED,2024-01-18T14:21:39.555000Z,2024-01-18T14:54:09.724000Z,2024-01-18T16:27:27.027000Z,2024-01-18T14:54:10.585000Z,1951.0,CDH5AM11,709,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
