Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667472dd90912fa689ac8761,65ca4efd9e492352fb16ca90,APPROVED,Not Applicable,2024-06-20T18:20:20.228000Z,2024-06-20T19:07:10.546000Z,2024-06-24T11:29:23.075000Z,2024-06-20T19:07:11.159399Z,2811.0,CD9A7ZYU,140,English,"No, I have no issues seeing colours",29,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
667472e08631642fef2d6d49,5fd6f37a0ffc7b67ce2a73a3,APPROVED,Not Applicable,2024-06-20T18:20:21.269000Z,2024-06-20T19:07:23.050000Z,2024-06-24T11:29:23.311000Z,2024-06-20T19:07:24.076583Z,2822.0,CD9A7ZYU,381,English,"No, I have no issues seeing colours",23,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
667472f290912fa689ac8764,605775ca8da35e75f7b6cb50,APPROVED,Not Applicable,2024-06-20T18:20:44.638000Z,2024-06-20T19:05:52.895000Z,2024-06-24T11:29:23.533000Z,2024-06-20T19:06:01.781675Z,2709.0,CD9A7ZYU,308,English,"No, I have no issues seeing colours",22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667472fefbbc55d5b67929ff,617407bb2ba9f1c43b5b5113,APPROVED,Not Applicable,2024-06-20T18:28:40.596000Z,2024-06-20T19:22:43.655000Z,2024-06-24T11:29:23.762000Z,2024-06-20T19:24:16.172959Z,3244.0,CD9A7ZYU,232,English,"No, I have no issues seeing colours",33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66747300c8d8d838b741e7fd,5b587d897846fa0001fc11c6,APPROVED,Not Applicable,2024-06-20T18:22:36.091000Z,2024-06-20T19:09:10.548000Z,2024-06-24T11:29:24.009000Z,2024-06-20T20:09:17.843396Z,2795.0,CD9A7ZYU,1724,English,"No, I have no issues seeing colours",25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66747303a482ac8f34d55242,66497b89c55b6a0ac500cbce,RETURNED,Not Applicable,2024-06-20T18:20:54.186000Z,2024-06-20T18:21:27.794000Z,,2024-06-20T18:23:08.935379Z,,CEG0G0I7,44,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667473047540986c68d34427,661e8c3f6ff5d0502d0d8407,APPROVED,Not Applicable,2024-06-20T18:20:56.521000Z,2024-06-20T19:13:02.796000Z,2024-06-24T11:29:24.410000Z,2024-06-20T19:13:30.659734Z,3127.0,CD9A7ZYU,101,English,"No, I have no issues seeing colours",27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6674730637333f2ce45bc474,664defd9cab927cb9a688d57,APPROVED,Not Applicable,2024-06-20T18:20:54.734000Z,2024-06-20T19:10:49.642000Z,2024-06-24T11:29:24.648000Z,2024-06-20T19:13:01.216221Z,2995.0,CD9A7ZYU,46,English,"No, I have no issues seeing colours",30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
66747328623a8f35482ddd8e,5e54c7fc2394ea4c99f88987,APPROVED,Not Applicable,2024-06-20T18:21:28.956000Z,2024-06-20T19:26:52.242000Z,2024-06-24T11:29:24.881000Z,2024-06-20T19:26:52.652531Z,3924.0,CD9A7ZYU,1658,English,"No, I have no issues seeing colours",36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6674732d60576bee33eea5e2,66718e0e5adb631892039d1a,APPROVED,Not Applicable,2024-06-20T18:21:41.025000Z,2024-06-20T19:12:19.377000Z,2024-06-24T11:29:25.131000Z,2024-06-20T19:13:18.609412Z,3039.0,CD9A7ZYU,7,"English, Hindi, Punjabi","No, I have no issues seeing colours",43,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
667473355847fb61b6f578e6,5995f045f9db7d00018959f4,RETURNED,Not Applicable,2024-06-20T18:21:49.175000Z,,,2024-07-08T15:41:45.535718Z,,,1618,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6674733abd96f7cf86da6030,63d7bb92ab9685eb344e78f4,APPROVED,Not Applicable,2024-06-20T18:23:26.385000Z,2024-06-20T19:12:08.521000Z,2024-06-24T11:29:25.380000Z,2024-06-20T19:13:15.007058Z,2923.0,CD9A7ZYU,512,English,"No, I have no issues seeing colours",40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6674733d8b84bc161af4456c,62a72693ad239d8873b2d0bc,APPROVED,Not Applicable,2024-06-20T18:21:53.172000Z,2024-06-20T19:10:02.444000Z,2024-06-24T11:29:25.609000Z,2024-06-20T19:10:03.989446Z,2890.0,CD9A7ZYU,1513,English,"No, I have no issues seeing colours",36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6674733e4266eb78289e9fcd,666b35640c6365706716ff4c,APPROVED,Not Applicable,2024-06-20T18:22:23.275000Z,2024-06-20T19:12:28.613000Z,2024-06-24T11:29:25.865000Z,2024-06-20T19:13:19.940573Z,3006.0,CD9A7ZYU,12,English,"No, I have no issues seeing colours",26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
